Original_SMILES,R1,R2,R3,R4,potency
NC1=NN2C=C(F)C=NC2=C1C(=O)NC1=C(C=CN=C1)N1CCN(CC1)C1COC1,C1OCC1N1CCN([*:1])CC1,[H][*:2],F[*:3],[H][*:4],< 20 nM 
NC1CCN(CC1)C1=C(NC(=O)C2=C3N=CC(CC#N)=CN3N=C2N)C=NC=C1,NC1CCN([*:1])CC1,[H][*:2],N#CC[*:3],[H][*:4],Inactive
CN1CCN(CC1)C1=C(NC(=O)C2=C3N=CC(F)=CN3N=C2N)C=NC=C1,CN1CCN([*:1])CC1,[H][*:2],F[*:3],[H][*:4],Inactive
CC(C)N1CCN(CC1)C1=C(NC(=O)C2=C3N=CC(F)=CN3N=C2N)C=NC=C1,CC(C)N1CCN([*:1])CC1,[H][*:2],F[*:3],[H][*:4],Inactive
CN1CCN(CC1)C1=C(NC(=O)C2=C3N=CC(F)=CN3N=C2N)C=NC=C1C1CC1,CN1CCN([*:1])CC1,C1CC1[*:2],F[*:3],[H][*:4],Inactive
NC1=NN2C=C(F)C=NC2=C1C(=O)NC1=C(C=CN=C1)N1C=CN=C1,c1cn([*:1])cn1,[H][*:2],F[*:3],[H][*:4],Inactive
CNCCC1=CN(N=C1)C1=C(NC(=O)C2=C3N=CC(F)=CN3N=C2N)C=NC=C1,CNCCc1cnn([*:1])c1,[H][*:2],F[*:3],[H][*:4],Inactive
CN(C)CCC1=CN(N=C1)C1=C(NC(=O)C2=C3N=CC(F)=CN3N=C2N)C=NC=C1,CN(C)CCc1cnn([*:1])c1,[H][*:2],F[*:3],[H][*:4],Inactive
NC1=NN2C=C(F)C=NC2=C1C(=O)NC1=C(C=CN=C1)N1CCN(CC1)[C@@H]1CCOC1,C1C[C@@H](N2CCN([*:1])CC2)CO1,[H][*:2],F[*:3],[H][*:4],Inactive
NC1=NN2C=C(F)C=NC2=C1C(=O)NC1=C(C=CN=C1)N1CCN(CC1)C1CCOCC1,C1CC(N2CCN([*:1])CC2)CCO1,[H][*:2],F[*:3],[H][*:4],Inactive
NC1=NN2C=C(F)C=NC2=C1C(=O)NC1=C(C=CN=C1)N1CCN(CC1)[C@H]1CCOC1,C1C[C@H](N2CCN([*:1])CC2)CO1,[H][*:2],F[*:3],[H][*:4],Inactive
NC1=NN2C=C(F)C=NC2=C1C(=O)NC1=C(N2CCN(CC2)C2COC2)C(F)=CN=C1,C1OCC1N1CCN([*:1])CC1,F[*:2],F[*:3],[H][*:4],< 20 nM 
CN1CCN(CC1)C1=C(NC(=O)C2=C3N=CC(Cl)=CN3N=C2N)C=NC=C1F,CN1CCN([*:1])CC1,F[*:2],Cl[*:3],[H][*:4],Inactive
CN1CCN(CC1)C1=C(NC(=O)C2=C3N=CC(F)=CN3N=C2N)C=NC=C1F,CN1CCN([*:1])CC1,F[*:2],F[*:3],[H][*:4],Inactive
CC1=CN=CC(NC(=O)C2=C3N=CC(F)=CN3N=C2N)=C1N1CCN(CC1)C1COC1,C1OCC1N1CCN([*:1])CC1,C[*:2],F[*:3],[H][*:4],Inactive
CCN1CCN(CC1)C1=C(NC(=O)C2=C3N=CC(F)=CN3N=C2N)C=NC=C1,CCN1CCN([*:1])CC1,[H][*:2],F[*:3],[H][*:4],Inactive
NC1=NN2C=C(F)C=NC2=C1C(=O)NC1=C(C=CN=C1)N1CCN2CCC1CC2,C1CN2CCC1N([*:1])CC2,[H][*:2],F[*:3],[H][*:4],Inactive
NC1=NN2C=C(F)C=NC2=C1C(=O)NC1=C(C=CN=C1)N1CCN(CC1)C1CCOC1,C1CC(N2CCN([*:1])CC2)CO1,[H][*:2],F[*:3],[H][*:4],Inactive
NC1=NN2C=C(F)C=NC2=C1C(=O)NC1=C(C=CN=C1)N1CCN(CC(F)(F)F)CC1,FC(F)(F)CN1CCN([*:1])CC1,[H][*:2],F[*:3],[H][*:4],Inactive
NC1=NN2C=C(F)C=NC2=C1C(=O)NC1=C(C=CN=C1)N1CCN2CCC[C@H]2C1,C1C[C@H]2CN([*:1])CCN2C1,[H][*:2],F[*:3],[H][*:4],Inactive
COCCN1CCN(CC1)C1=C(NC(=O)C2=C3N=CC(F)=CN3N=C2N)C=NC=C1,COCCN1CCN([*:1])CC1,[H][*:2],F[*:3],[H][*:4],Inactive
C[C@@H]1CN(CCN1C1=C(NC(=O)C2=C3N=CC(F)=CN3N=C2N)C=NC=C1)C1COC1,C[C@@H]1CN(C2COC2)CCN1[*:1],[H][*:2],F[*:3],[H][*:4],Inactive
C[C@H]1CN(CCN1C1=C(NC(=O)C2=C3N=CC(F)=CN3N=C2N)C=NC=C1)C1COC1,C[C@H]1CN(C2COC2)CCN1[*:1],[H][*:2],F[*:3],[H][*:4],Inactive
C[C@@H]1CN(CCN1C1=C(NC(=O)C2=C3N=CC(Cl)=CN3N=C2N)C=NC=C1)C1(C)COC1,C[C@@H]1CN(C2(C)COC2)CCN1[*:1],[H][*:2],Cl[*:3],[H][*:4],Inactive
NC1=NN2C=C(F)C=NC2=C1C(=O)NC1=C(C=CN=C1)N1C=CC=N1,c1cnn([*:1])c1,[H][*:2],F[*:3],[H][*:4],Inactive
NC1=NN2C=C(F)C=NC2=C1C(=O)NC1=C(C=CN=C1)N1C=NC(=C1)C(F)(F)F,FC(F)(F)c1cn([*:1])cn1,[H][*:2],F[*:3],[H][*:4],Inactive
CC1=NC=CN1C1=C(NC(=O)C2=C3N=CC(F)=CN3N=C2N)C=NC=C1,Cc1nccn1[*:1],[H][*:2],F[*:3],[H][*:4],Inactive
NC1=NN2C=C(Cl)C=NC2=C1C(=O)NC1=C(C=CN=C1)N1C=CN=C1,c1cn([*:1])cn1,[H][*:2],Cl[*:3],[H][*:4],Inactive
CC1=NC(=CN1C1=C(NC(=O)C2=C3N=CC(F)=CN3N=C2N)C=NC=C1)C(F)(F)F,Cc1nc(C(F)(F)F)cn1[*:1],[H][*:2],F[*:3],[H][*:4],Inactive
NC1=NN2C=C(F)C=NC2=C1C(=O)NC1=C(C=CN=C1)N1CCN(C2CC12)C1COC1,C1OCC1N1CCN([*:1])C2CC21,[H][*:2],F[*:3],[H][*:4],Inactive
NC1=NN2C=C(F)C=NC2=C1C(=O)NC1=C(N2CCN(CC2)C2COC2)C(=CN=C1)C1CC1,C1OCC1N1CCN([*:1])CC1,C1CC1[*:2],F[*:3],[H][*:4],Inactive
NC1=NN2C=C(F)C=NC2=C1C(=O)NC1=C(C=CN=C1)N1CCN(CC1)C1CC1,C1CC1N1CCN([*:1])CC1,[H][*:2],F[*:3],[H][*:4],Inactive
CC(C)(C)N1CCN(CC1)C1=C(NC(=O)C2=C3N=CC(Cl)=CN3N=C2N)C=NC=C1,CC(C)(C)N1CCN([*:1])CC1,[H][*:2],Cl[*:3],[H][*:4],Inactive
CN(C)[C@H]1CCN(C[C@@H]1O)C1=C(NC(=O)C2=C3N=CC(Cl)=CN3N=C2N)C=NC=C1,CN(C)[C@H]1CCN([*:1])C[C@@H]1O,[H][*:2],Cl[*:3],[H][*:4],Inactive
CN(C)CC1(O)CCN(CC1)C1=C(NC(=O)C2=C3N=CC(Cl)=CN3N=C2N)C=NC=C1,CN(C)CC1(O)CCN([*:1])CC1,[H][*:2],Cl[*:3],[H][*:4],Inactive
CN(C)C1CCN(CC1)C1=C(NC(=O)C2=C3N=CC(Cl)=CN3N=C2N)C=NC=C1,CN(C)C1CCN([*:1])CC1,[H][*:2],Cl[*:3],[H][*:4],Inactive
NC1=NN2C=C(F)C=NC2=C1C(=O)NC1=C(N2CCN3CCN(CC3C2)C2COC2)C(Cl)=CN=C1,C1OCC1N1CCN2CCN([*:1])CC2C1,Cl[*:2],F[*:3],[H][*:4],Inactive
CC(C)N1CCN(CC1)C1=C(NC(=O)C2=C3N=CC(Cl)=CN3N=C2N)C=NC=C1,CC(C)N1CCN([*:1])CC1,[H][*:2],Cl[*:3],[H][*:4],Inactive
CN(C)C1CCCN(C1)C1=C(NC(=O)C2=C3N=CC(Cl)=CN3N=C2N)C=NC=C1,CN(C)C1CCCN([*:1])C1,[H][*:2],Cl[*:3],[H][*:4],Inactive
CN1CCN(CC1)C1=C(NC(=O)C2=C3N=CC(Cl)=CN3N=C2N)C=NC=C1Cl,CN1CCN([*:1])CC1,Cl[*:2],Cl[*:3],[H][*:4],Inactive
NC1=NN2C=C(Cl)C=NC2=C1C(=O)NC1=C(C=CN=C1)N1C2CCC1CC(O)C2,OC1CC2CCC(C1)N2[*:1],[H][*:2],Cl[*:3],[H][*:4],Inactive
CN1CCCN(CC1)C1=C(NC(=O)C2=C3N=CC(Cl)=CN3N=C2N)C=NC=C1,CN1CCCN([*:1])CC1,[H][*:2],Cl[*:3],[H][*:4],Inactive
NC1=NN2C=C(Cl)C=NC2=C1C(=O)NC1=C(C=CN=C1)N1CCN2C=CN=C2C1,c1cn2c(n1)CN([*:1])CC2,[H][*:2],Cl[*:3],[H][*:4],Inactive
CN(C)CN1CCN(CC1)C1=C(NC(=O)C2=C3N=CC(Cl)=CN3N=C2N)C=NC=C1,CN(C)CN1CCN([*:1])CC1,[H][*:2],Cl[*:3],[H][*:4],Inactive
COC1(CN(C)C)CCN(CC1)C1=C(NC(=O)C2=C3N=CC(Cl)=CN3N=C2N)C=NC=C1,COC1(CN(C)C)CCN([*:1])CC1,[H][*:2],Cl[*:3],[H][*:4],Inactive
COCC1CN(CCN1C)C1=C(NC(=O)C2=C3N=CC(Cl)=CN3N=C2N)C=NC=C1,COCC1CN([*:1])CCN1C,[H][*:2],Cl[*:3],[H][*:4],Inactive
NC1=NN2C=C(Cl)C=NC2=C1C(=O)NC1=C(C=CN=C1)N1CCN(CC1)C1CCC1,C1CC(N2CCN([*:1])CC2)C1,[H][*:2],Cl[*:3],[H][*:4],Inactive
CN(C)CCN1CCN(CC1)C1=C(NC(=O)C2=C3N=CC(Cl)=CN3N=C2N)C=NC=C1,CN(C)CCN1CCN([*:1])CC1,[H][*:2],Cl[*:3],[H][*:4],Inactive
CN1CCN(CC1)C1=C(NC(=O)C2=C3N=CC(Cl)=CN3N=C2N)C=NC(N)=C1,CN1CCN([*:1])CC1,[H][*:2],Cl[*:3],N[*:4],Inactive
CCN1CCN(CC1)C1=C(NC(=O)C2=C3N=CC(Cl)=CN3N=C2N)C=NC=C1,CCN1CCN([*:1])CC1,[H][*:2],Cl[*:3],[H][*:4],Inactive
CN1CCN(CC1)C1=C(NC(=O)C2=C3N=CC(Cl)=CN3N=C2N)C=NC(Cl)=C1,CN1CCN([*:1])CC1,[H][*:2],Cl[*:3],Cl[*:4],Inactive
CN1CCN(CC1(C)C)C1=C(NC(=O)C2=C3N=CC(Cl)=CN3N=C2N)C=NC=C1,CN1CCN([*:1])CC1(C)C,[H][*:2],Cl[*:3],[H][*:4],Inactive
CC1CN(CCN1C)C1=C(NC(=O)C2=C3N=CC(Cl)=CN3N=C2N)C=NC=C1,CC1CN([*:1])CCN1C,[H][*:2],Cl[*:3],[H][*:4],Inactive
NC1CCCN(C1)C1=C(NC(=O)C2=C3N=CC(Cl)=CN3N=C2N)C=NC=C1,NC1CCCN([*:1])C1,[H][*:2],Cl[*:3],[H][*:4],Inactive
NC1=NN2C=C(Cl)C=NC2=C1C(=O)NC1=C(C=CN=C1)N1CCN2CCC1CC2,C1CN2CCC1N([*:1])CC2,[H][*:2],Cl[*:3],[H][*:4],Inactive
CN1CCN(CC1)C1=C(NC(=O)C2=C3N=CC(Cl)=CN3N=C2N)C=NC=C1C,CN1CCN([*:1])CC1,C[*:2],Cl[*:3],[H][*:4],Inactive
NC1=NN2C=C(Cl)C=NC2=C1C(=O)NC1=C(C=CN=C1)N1CCN(CC1)C1COC1,C1OCC1N1CCN([*:1])CC1,[H][*:2],Cl[*:3],[H][*:4],< 20 nM 
CN1CCN(CC1)C1=C(NC(=O)C2=C3N=CC(Cl)=CN3N=C2N)C=NC=C1,CN1CCN([*:1])CC1,[H][*:2],Cl[*:3],[H][*:4],Inactive
COCCN1CCN(CC1)C1=C(NC(=O)C2=C3N=CC(Cl)=CN3N=C2N)C=NC=C1,COCCN1CCN([*:1])CC1,[H][*:2],Cl[*:3],[H][*:4],Inactive
CN1CCN2CCN(CC2C1)C1=C(NC(=O)C2=C3N=CC(Cl)=CN3N=C2N)C=NC=C1,CN1CCN2CCN([*:1])CC2C1,[H][*:2],Cl[*:3],[H][*:4],Inactive
CC1(COC1)N1CCN(CC1)C1=C(NC(=O)C2=C3N=CC(F)=CN3N=C2N)C=NC=C1,CC1(N2CCN([*:1])CC2)COC1,[H][*:2],F[*:3],[H][*:4],Inactive
CN1CCN(CC1CO)C1=C(NC(=O)C2=C3N=CC(Cl)=CN3N=C2N)C=NC=C1,CN1CCN([*:1])CC1CO,[H][*:2],Cl[*:3],[H][*:4],Inactive
NC1=NN2C=C(Cl)C=NC2=C1C(=O)NC1=C(C=CN=C1)N1CCN(CC1)C1CC1,C1CC1N1CCN([*:1])CC1,[H][*:2],Cl[*:3],[H][*:4],Inactive
NC1=NN2C=C(Cl)C=NC2=C1C(=O)NC1=C(C=CN=C1)N1CCN2CCC[C@@H]2C1,C1C[C@@H]2CN([*:1])CCN2C1,[H][*:2],Cl[*:3],[H][*:4],Inactive
CC1(O)CCN(CC1)C1=C(NC(=O)C2=C3N=CC(Cl)=CN3N=C2N)C=NC=C1,CC1(O)CCN([*:1])CC1,[H][*:2],Cl[*:3],[H][*:4],Inactive
NC1=NN2C=C(Cl)C=NC2=C1C(=O)NC1=C(C=CN=C1)N1CCN(CC(F)(F)F)CC1,FC(F)(F)CN1CCN([*:1])CC1,[H][*:2],Cl[*:3],[H][*:4],Inactive
NC1=NN2C=C(Cl)C=NC2=C1C(=O)NC1=C(C=CN=C1)N1CCS(=O)CC1,O=S1CCN([*:1])CC1,[H][*:2],Cl[*:3],[H][*:4],Inactive
CC(C)(O)C1CCN(CC1)C1=C(NC(=O)C2=C3N=CC(Cl)=CN3N=C2N)C=NC=C1,CC(C)(O)C1CCN([*:1])CC1,[H][*:2],Cl[*:3],[H][*:4],Inactive
NC1=NN2C=C(Cl)C=NC2=C1C(=O)NC1=C(C=CN=C1)N1CCNC(C1)C(F)(F)F,FC(F)(F)C1CN([*:1])CCN1,[H][*:2],Cl[*:3],[H][*:4],Inactive
NC1=NN2C=C(Cl)C=NC2=C1C(=O)NC1=C(C=CN=C1)N1CCN2CCC[C@H]2C1,C1C[C@H]2CN([*:1])CCN2C1,[H][*:2],Cl[*:3],[H][*:4],Inactive
CC1CN(C)CCN1C1=C(NC(=O)C2=C3N=CC(Cl)=CN3N=C2N)C=NC=C1,CC1CN(C)CCN1[*:1],[H][*:2],Cl[*:3],[H][*:4],Inactive
COC1CCN(CC1)C1=C(NC(=O)C2=C3N=CC(Cl)=CN3N=C2N)C=NC=C1,COC1CCN([*:1])CC1,[H][*:2],Cl[*:3],[H][*:4],Inactive
COC(=O)C1CCN(CC1)C1=C(NC(=O)C2=C3N=CC(Cl)=CN3N=C2N)C=NC=C1,COC(=O)C1CCN([*:1])CC1,[H][*:2],Cl[*:3],[H][*:4],Inactive
NC1=NN2C=C(Cl)C=NC2=C1C(=O)NC1=C(C=CN=C1)N1CCN2C=NC=C2C1,c1ncn2c1CN([*:1])CC2,[H][*:2],Cl[*:3],[H][*:4],Inactive
CN1CCN(CC1)C1=C(NC(=O)C2=C3N=CC(=CN3N=C2N)C(C)(C)C#N)C=NC=C1,CN1CCN([*:1])CC1,[H][*:2],CC(C)(C#N)[*:3],[H][*:4],Inactive
NC1=NN2C=C(CC#N)C=NC2=C1C(=O)NC1=C(C=CN=C1)N1CCCC1,C1CCN([*:1])C1,[H][*:2],N#CC[*:3],[H][*:4],Inactive
CC(C#N)C1=CN2N=C(N)C(C(=O)NC3=C(C=CN=C3)N3CCN(C)CC3)=C2N=C1,CN1CCN([*:1])CC1,[H][*:2],CC(C#N)[*:3],[H][*:4],Inactive
NC1=NN2C=C(CC#N)C=NC2=C1C(=O)NC1=C(C=CN=C1)N1CCCCCC1,C1CCCN([*:1])CC1,[H][*:2],N#CC[*:3],[H][*:4],Inactive
CN1CCN(CC1)C1=C(NC(=O)C2=C3N=CC(CC#N)=CN3N=C2N)C=NC=C1F,CN1CCN([*:1])CC1,F[*:2],N#CC[*:3],[H][*:4],Inactive
NC1=NN2C=C(CC#N)C=NC2=C1C(=O)NC1=C(C=CN=C1)N1CCOCC1,C1CN([*:1])CCO1,[H][*:2],N#CC[*:3],[H][*:4],Inactive
CN1CCN(CC1)C1=C(NC(=O)C2=C3N=CC(CC#N)=CN3N=C2N)C=NC=C1,CN1CCN([*:1])CC1,[H][*:2],N#CC[*:3],[H][*:4],Inactive
NC1=NN2C=C(CC#N)C=NC2=C1C(=O)NC1=C(C=CN=C1)N1CCC(O)CC1,OC1CCN([*:1])CC1,[H][*:2],N#CC[*:3],[H][*:4],Inactive
NC1=NN2C=C(CC#N)C=NC2=C1C(=O)NC1=C(C=CN=C1)N1CCCCC1,C1CCN([*:1])CC1,[H][*:2],N#CC[*:3],[H][*:4],Inactive
CN1CCN(CC1)C1=C(NC(=O)C2=C3N=CC(F)=CN3N=C2N)C=NC=C1Cl,CN1CCN([*:1])CC1,Cl[*:2],F[*:3],[H][*:4],Inactive
NC1CCN(CC1)C1=C(NC(=O)C2=C3N=CC(Cl)=CN3N=C2N)C=NC=C1,NC1CCN([*:1])CC1,[H][*:2],Cl[*:3],[H][*:4],Inactive
CNC1CCN(CC1)C1=C(NC(=O)C2=C3N=CC(Cl)=CN3N=C2N)C=NC=C1,CNC1CCN([*:1])CC1,[H][*:2],Cl[*:3],[H][*:4],Inactive
NC1=NN2C=C(Cl)C=NC2=C1C(=O)NC1=C(C=CN=C1)N1CCNCC1,C1CN([*:1])CCN1,[H][*:2],Cl[*:3],[H][*:4],Inactive
NC1=NN2C=C(CC#N)C=NC2=C1C(=O)NC1=C(C=CN=C1)N1CCNCC1,C1CN([*:1])CCN1,[H][*:2],N#CC[*:3],[H][*:4],Inactive
NCC1CN(CCO1)C1=C(NC(=O)C2=C3N=CC(CC#N)=CN3N=C2N)C=NC=C1,NCC1CN([*:1])CCO1,[H][*:2],N#CC[*:3],[H][*:4],Inactive
NCC1CCN(CC1)C1=C(NC(=O)C2=C3N=CC(Cl)=CN3N=C2N)C=NC=C1,NCC1CCN([*:1])CC1,[H][*:2],Cl[*:3],[H][*:4],Inactive
NC1=NN2C=C(F)C=NC2=C1C(=O)NC1=C(C=CN=C1)N1CCC(CC1)C(O)=O,O=C(O)C1CCN([*:1])CC1,[H][*:2],F[*:3],[H][*:4],Inactive
NC1=NN2C=C(Cl)C=NC2=C1C(=O)NC1=C(C=CN=C1)N1CCC(CC1)N1CCC1,C1CN(C2CCN([*:1])CC2)C1,[H][*:2],Cl[*:3],[H][*:4],Inactive
CN(C)C1CN(C1)C1CCN(CC1)C1=C(NC(=O)C2=C3N=CC(Cl)=CN3N=C2N)C=NC=C1,CN(C)C1CN(C2CCN([*:1])CC2)C1,[H][*:2],Cl[*:3],[H][*:4],Inactive
COC1CCN(C1)C1CCN(CC1)C1=C(NC(=O)C2=C3N=CC(Cl)=CN3N=C2N)C=NC=C1,COC1CCN(C2CCN([*:1])CC2)C1,[H][*:2],Cl[*:3],[H][*:4],Inactive
CN1CCN(CC1)C1CCN(CC1)C1=C(NC(=O)C2=C3N=CC(Cl)=CN3N=C2N)C=NC=C1,CN1CCN(C2CCN([*:1])CC2)CC1,[H][*:2],Cl[*:3],[H][*:4],Inactive
NC1=NN2C=C(Cl)C=NC2=C1C(=O)NC1=C(C=CN=C1)N1CCC(CC1)N1CC[C@@H](F)C1,F[C@@H]1CCN(C2CCN([*:1])CC2)C1,[H][*:2],Cl[*:3],[H][*:4],Inactive
NC1=NN2C=C(Cl)C=NC2=C1C(=O)NC1=C(C=CN=C1)N1CCC(CC1)N1CCC2(COC2)C1,C1CN([*:1])CCC1N1CCC2(COC2)C1,[H][*:2],Cl[*:3],[H][*:4],Inactive
NC1=NN2C=C(Cl)C=NC2=C1C(=O)NC1=C(C=CN=C1)N1CCC(CC1)N1CCS(=O)CC1,O=S1CCN(C2CCN([*:1])CC2)CC1,[H][*:2],Cl[*:3],[H][*:4],Inactive
NC1=NN2C=C(Cl)C=NC2=C1C(=O)NC1=C(C=CN=C1)N1CCC(CC1)N1CCN2C=NC=C2C1,c1ncn2c1CN(C1CCN([*:1])CC1)CC2,[H][*:2],Cl[*:3],[H][*:4],Inactive
NC1=NN2C=C(Cl)C=NC2=C1C(=O)NC1=C(C=CN=C1)N1CCC(CC1)N1CCN2C=CN=C2C1,c1cn2c(n1)CN(C1CCN([*:1])CC1)CC2,[H][*:2],Cl[*:3],[H][*:4],Inactive
NC1=NN2C=C(Cl)C=NC2=C1C(=O)NC1=C(C=CN=C1)N1CCC(CC1)N1CC[C@H](F)C1,F[C@H]1CCN(C2CCN([*:1])CC2)C1,[H][*:2],Cl[*:3],[H][*:4],Inactive
NC1=NN2C=C(Cl)C=NC2=C1C(=O)NC1=C(C=CN=C1)N1CCC(CC1)N1CCOCC1,C1CN(C2CCN([*:1])CC2)CCO1,[H][*:2],Cl[*:3],[H][*:4],Inactive
NC1=NN2C=C(Cl)C=NC2=C1C(=O)NC1=C(C=CN=C1)N1CCC(CC1)N1CCCC1,C1CCN(C2CCN([*:1])CC2)C1,[H][*:2],Cl[*:3],[H][*:4],Inactive
CN(C)C1CCN(C1)C1CCN(CC1)C1=C(NC(=O)C2=C3N=CC(Cl)=CN3N=C2N)C=NC=C1,CN(C)C1CCN(C2CCN([*:1])CC2)C1,[H][*:2],Cl[*:3],[H][*:4],Inactive
COC1CN(C1)C1CCN(CC1)C1=C(NC(=O)C2=C3N=CC(Cl)=CN3N=C2N)C=NC=C1,COC1CN(C2CCN([*:1])CC2)C1,[H][*:2],Cl[*:3],[H][*:4],Inactive
NC1=NN2C=C(Cl)C=NC2=C1C(=O)NC1=C(C=CN=C1)N1CCC(CC1)N1CC(F)(F)C1,FC1(F)CN(C2CCN([*:1])CC2)C1,[H][*:2],Cl[*:3],[H][*:4],Inactive
NC1=NN2C=C(Cl)C=NC2=C1C(=O)NC1=C(C=CN=C1)N1CCC(CC1)N1CCC11COC1,C1CN([*:1])CCC1N1CCC12COC2,[H][*:2],Cl[*:3],[H][*:4],Inactive
CN1CCN(CC1)C1=C(NC(=O)C2=C3N=CC(F)=CN3N=C2N)C=NC=C1C(F)F,CN1CCN([*:1])CC1,FC(F)[*:2],F[*:3],[H][*:4],Inactive
CN1CCN(CC1)C1=C(NC(=O)C2=C3N=CC(F)=CN3N=C2N)C=NC=C1C#N,CN1CCN([*:1])CC1,N#C[*:2],F[*:3],[H][*:4],Inactive
NC1=NN2C=C(F)C=NC2=C1C(=O)NC1=C(C=CN=C1)N1CCN2CCOCC2C1,C1CN2CCN([*:1])CC2CO1,[H][*:2],F[*:3],[H][*:4],Inactive
NC1=NN2C=C(F)C=NC2=C1C(=O)NC1=C(C=CN=C1)N1CCN2CCOC[C@H]2C1,C1CN2CCN([*:1])C[C@@H]2CO1,[H][*:2],F[*:3],[H][*:4],Inactive
NC1=NN2C=C(Cl)C=NC2=C1C(=O)NC1=C(N2CCN(CC2)C2COC2)C(F)=CN=C1,C1OCC1N1CCN([*:1])CC1,F[*:2],Cl[*:3],[H][*:4],Inactive
NC1=NN2C=C(F)C=NC2=C1C(=O)NC1=C(N2CCNCC2)C(F)=CN=C1,C1CN([*:1])CCN1,F[*:2],F[*:3],[H][*:4],< 20 nM 
